Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
03 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.553;1.250;173;3750;86;3;3. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;67,00;https://www.immowelt.de/expose/2dgeg5t
02 Behindertengerecht wohnen an der Dahme + Neubau mit Terrasse + EBK;1.247;1.000;141;3000;70;2;;12527 Berlin Grünau;rollstuhlgerecht;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;60,00;https://www.immowelt.de/expose/2dfeg5t
01 Wohnen an der Dahme + Neubau mit Balkon + EBK;1.182;1.000;104;3000;52;2;2. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;59,00;https://www.immowelt.de/expose/2deeg5t
Sanierter Altbau am Leopoldplatz!;1.153,36;927,36;226;;65;2;;13353 Berlin Wedding;;;1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.immowelt.de/expose/2dytf5t
Moderne 1-Zi.-Singlemietwohnung, 28,2 m², 2.OG, Balkon, EBK, Tiefgarage, Fahrstuhl, Kladow;786,79;675,60;111,19;3 NKM;28;1;3. Geschoss;14089 Berlin Kladow;Bad mit Dusche;;2024;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;C;;76,20;https://www.immowelt.de/expose/2dk6f5t
Schöne möblierte und gepflegte Wohnung zu vermieten;1.400;1.050;350;3150;57;2;2. Geschoss;13403 Berlin Reinickendorf;Bad mit Fenster und Dusche, Bidet, WG-geeignet;;1910;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Sofort;C;Gas;88,60;https://www.immowelt.de/expose/2dfxe5t
WBS m. besonderen Wohnbedarf erforderlich - Renovierungsbedürftige 2 Zimmer Wohnung *EBK *Terrasse *Wannenbad *Keller;921,61;611,61;310;1834,83;64;2;Erdgeschoss;13595 Berlin Spandau;Bad mit Wanne;Zustand:, Neubau;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Öl;;https://www.immowelt.de/expose/2dlfe5t
Geschmackvolle Wohnung mit zwei Zimmern sowie Balkon und Einbauküche in Berlin;1.174;1.006;168;3018;61;2;;12309 Berlin Lichtenrade;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dybe5t
Gesucht - gefunden. Traumhaft.;735;631,06;104;1.839,18;54;k;3. Geschoss;;;;1918;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;;;https://www.immowelt.de/expose/2dhld5t
WUNDERSCHÖNE - 2 ZIMMER WOHNUNG - EINBAUKÜCHE - BALKON - AB 01.05.2024;1.520;1.330;100;3.990,00;49;2;5. Geschoss;10249 Berlin Friedrichshain;;;2024;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2dwkd5t
