Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Schöne 3-Zimmer-Erstbezugswohnung mit einem Balkon, inkl. Straßenstellplatz;1521,98;1285;236,98;;67.71;3;"2
                                                                                    von 5"; 10318 Berlin, Karlshorst;Aufzug, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423901
Schöne 4-Zimmer-Erstbezugswohnung mit Loggia und Terrasse, inkl. Tiefgaragenstellplatz;2211,38;1875;336,38;;96.11;4;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423902
Schöne 3-Zimmer-Erstbezugswohnung mit zwei Loggien, inkl. Tiefgaragenstellplatz;1819,47;1545;274,47;;78.42;3;"2
                                                                                    von 4"; 10318 Berlin, Karlshorst;Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423903
Neubau mit EBK, Aufzug und Balkon 1 Zimmer Studio;819;699;120;;29.7;1;"3
                                                                                    von 11"; 10315 Berlin, Friedrichsfelde;Aufzug, Neubau;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-06-01;;;;https://www.wohnungsboerse.net/immodetail/34423904
Renovierte 3-Zimmer-Wohnung mit zeitgemäßem Komfort in Neukölln;2790;2490;300;;70;3;"1
                                                                                    von 4"; 12047 Berlin, Neukölln;Tiere erlaubt, Energieausweis in Vorbereitung;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.10.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34150916
Dein neues Zuhause im Zukunftsquartier SÜDKREUZ | 4-Zimmer Wohnung CLASSIC;2678,74;2377,52;301,22;;107.58;4;"6
                                                                                    von 6"; 10829 Berlin, Schöneberg;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2023;;;;https://www.wohnungsboerse.net/immodetail/32038816
Dein neues Zuhause im Zukunftsquartier SÜDKREUZ | 3-Zimmer Wohnung;2190,63;1430,02;760,61;;62.72;2;"6
                                                                                    von 6"; 10829 Berlin, Schöneberg;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;14.12.2023;;;;https://www.wohnungsboerse.net/immodetail/33765233
Erstbezug in Reinickendorf  - Wohnen in den Neuen Holländerhöfen;1725,55;1395,55;330;;73.45;3;"2
                                                                                    von 3"; 13407 Berlin, Reinickendorf;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2024;A;Gas;;https://www.wohnungsboerse.net/immodetail/34076213
Modernes Single-Apartment - voll möbliert, mit Balkon!;552731;552630;100,88;;25.22;1;"5
                                                                                    von 6"; 13187 Berlin, Pankow;Möbliert, Aufzug, Energieausweis in Vorbereitung;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34415687
Erstbezug nach Sanierung. Balkonwohnung;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>13,00";815,23;;;62.71;2;2; 10555 Berlin, Tiergarten;;;1961;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423790
Wasser- und Berlinblick inkl. / hochwertige 2-Zi-Whg im Erstbezug;2399;2100;299;;75.62;2;"6
                                                                                    von 6"; 10557 Berlin, Mitte;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423794
Moderne 2-Zimmer-Neubauwohnung in Berlin-Charlottenburg;1448,01;1166,29;281,72;;57.06;2;"4
                                                                                    von 7"; 10587 Berlin, Charlottenburg;Aufzug, Keller, Neubau, Bedarfsausweis;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;16.04.2024;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423719
Gut geschnittene 3-Raumwohnung in Berlin-Tempelhof;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>19,45";1299;;;66.78;3;; 12103 Berlin, Tempelhof;Keller, Energieausweis in Vorbereitung;;1963;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423727
Sonniges kleines Paradies.;1015,90;822,32;193,58;;47.55;2;2; 14167 Berlin, Zehlendorf;;;2017;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423680
Traum in Südlage - 2 Bäder.;2189,65;1766,64;423,01;;105.89;4;3; 14167 Berlin, Zehlendorf;;;2016;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423689
Erstbezug im Märchenviertel;1400;1250;150;;72.55;2.5;; 12555 Berlin, Köpenick;;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/34423702
Modernisierte Altbauwohnung mit Einbauküche und abgez. Dielen in Charlottenburg!;910;770;140;;61.63;2;"1
                                                                                    von 5"; 10627 Berlin, Charlottenburg;Altbau, Tiere erlaubt, Verbrauchsausweis;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423605
TOP ANGEBOT! TOP SANIERT! 2-Zimmer-Wohnung mit Balkon und Einbauküche in Weißensee;992,92;832,92;160;;50.48;2;"1
                                                                                    von 3";;Keller, Tiere erlaubt, Verbrauchsausweis;;1932;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423634
3-Zimmer-Wohnung ohne WBS ab 01.05.2024;1371,80;1086,80;285;;76;3;"4
                                                                                    von 6"; 10365 Berlin, Lichtenberg;Aufzug, Keller, Behindertengerecht, Bedarfsausweis;;2019;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;A;;;https://www.wohnungsboerse.net/immodetail/34423641
Dein neues Zuhause im Zukunftsquartier SÜDKREUZ | 4-Zimmer Wohnung CLASSIC;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>21,00";2115,33;;;100.73;4;"3
                                                                                    von 6"; 10829 Berlin, Schöneberg;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2023;;;;https://www.wohnungsboerse.net/immodetail/34423573
Möblierte 1,5 Zi Wohnung;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>26,90";1345;;;50;2;"1
                                                                                    von 5"; 13353 Berlin, Wedding;Möbliert, Keller, Tiere erlaubt, Verbrauchsausweis;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2024;C;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423593
Möbilierte 2-Zi-Whg im grünen Zehlendorf zur Zwieschenmiete;1150;950;200;;41;2;"1
                                                                                    von 3"; 14169 Berlin, Zehlendorf;Keller, Tiere erlaubt, Energieausweis nicht notwendig (Denkmalschutz);;1936;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34423596
Dein neues Zuhause im Zukunftsquartier SÜDKREUZ | 1,5-Zimmer Wohnung;1199,22;1057,54;141,68;;50.6;1.5;"1
                                                                                    von 6"; 10829 Berlin, Schöneberg;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;14.12.2023;;;;https://www.wohnungsboerse.net/immodetail/34423505
Dein neues Zuhause im Zukunftsquartier SÜDKREUZ | 1,5-Zimmer Wohnung;1005,41;890,97;114,44;;40.87;1.5;"1
                                                                                    von 6"; 10829 Berlin, Schöneberg;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;14.12.2023;;;;https://www.wohnungsboerse.net/immodetail/34423512
